team_name,team_abbrev,player_name,position_name,age,height,weight,shot,birth_place,birthdate,depth_label,status,player_url,section_title
Anaheim Ducks,ana,Drew Helleson,D,24,"6' 3""",213 lbs,R,"Farmington, MN",03/26/01,Roster,,https://www.espn.com/nhl/player/_/id/4565270,Defense
Anaheim Ducks,ana,Oliver Kylington,D,28,"6' 0""",183 lbs,L,"Stockholm, SWE",05/19/97,Roster,,https://www.espn.com/nhl/player/_/id/3900247,Defense
Anaheim Ducks,ana,Jackson LaCombe,D,24,"6' 2""",205 lbs,L,"Eden Prairie, MN",01/09/01,Roster,,https://www.espn.com/nhl/player/_/id/4565262,Defense
Anaheim Ducks,ana,Pavel Mintyukov,D,21,"6' 1""",200 lbs,L,"Moscow, RUS",11/25/03,Roster,,https://www.espn.com/nhl/player/_/id/5080154,Defense
Anaheim Ducks,ana,Ian Moore,D,23,"6' 3""",203 lbs,R,"Salt Lake City, UT",01/04/02,Roster,,https://www.espn.com/nhl/player/_/id/5188523,Defense
Anaheim Ducks,ana,Jacob Trouba,D,31,"6' 3""",212 lbs,R,"Rochester, MI",02/26/94,Roster,,https://www.espn.com/nhl/player/_/id/2976839,Defense
Anaheim Ducks,ana,Olen Zellweger,D,21,"5' 10""",187 lbs,L,"Fort Saskatchewan, CAN",09/10/03,Roster,,https://www.espn.com/nhl/player/_/id/4874863,Defense
Anaheim Ducks,ana,Lukas Dostal,G,24,"6' 2""",190 lbs,L,"Brno, CZE",06/22/00,Roster,,https://www.espn.com/nhl/player/_/id/4588165,Goalies
Anaheim Ducks,ana,John Gibson,G,31,"6' 2""",214 lbs,L,"Pittsburgh, PA",07/14/93,Roster,,https://www.espn.com/nhl/player/_/id/2590824,Goalies
Boston Bruins,bos,Johnny Beecher,C,24,"6' 3""",220 lbs,L,"Elmira, NY",04/05/01,Roster,,https://www.espn.com/nhl/player/_/id/4565251,Centers
Boston Bruins,bos,Morgan Geekie,C,26,"6' 3""",208 lbs,R,"Strathclair, CAN",07/20/98,Roster,,https://www.espn.com/nhl/player/_/id/4268466,Centers
Boston Bruins,bos,Mark Kastelic,C,26,"6' 4""",227 lbs,R,"Phoenix, AZ",03/11/99,Roster,,https://www.espn.com/nhl/player/_/id/4587985,Centers
Boston Bruins,bos,Marat Khusnutdinov,C,22,"5' 11""",176 lbs,L,"Moscow, RUS",07/17/02,Roster,,https://www.espn.com/nhl/player/_/id/4697442,Centers
Boston Bruins,bos,Jakub Lauko,C,25,"6' 1""",193 lbs,L,"Prague, CZE",03/28/00,Roster,,https://www.espn.com/nhl/player/_/id/4391789,Centers
Boston Bruins,bos,Elias Lindholm,C,30,"6' 1""",202 lbs,R,"Boden, SWE",12/02/94,Roster,,https://www.espn.com/nhl/player/_/id/3041994,Centers
Boston Bruins,bos,Casey Mittelstadt,C,26,"6' 1""",195 lbs,L,"Eden Prairie, MN",11/22/98,Roster,,https://www.espn.com/nhl/player/_/id/4233575,Centers
Boston Bruins,bos,Pavel Zacha,C,28,"6' 3""",206 lbs,L,"Brno, CZE",04/06/97,Roster,,https://www.espn.com/nhl/player/_/id/3899949,Centers
Boston Bruins,bos,Cole Koepke,LW,27,"6' 1""",207 lbs,L,"Two Harbors, MN",05/17/98,Roster,,https://www.espn.com/nhl/player/_/id/4419679,Left Wings
Boston Bruins,bos,Jeffrey Viel,LW,28,"6' 0""",197 lbs,L,"Rimouski, CAN",01/28/97,Roster,,https://www.espn.com/nhl/player/_/id/4588188,Left Wings
Boston Bruins,bos,David Pastrnak,RW,29,"6' 0""",200 lbs,L,"Havirov, CZE",05/25/96,Roster,,https://www.espn.com/nhl/player/_/id/3114778,Right Wings
Boston Bruins,bos,Henri Jokiharju,D,26,"6' 0""",200 lbs,R,"Oulu, FIN",06/17/99,Roster,,https://www.espn.com/nhl/player/_/id/4233705,Defense
Boston Bruins,bos,Hampus Lindholm,D,31,"6' 4""",224 lbs,L,"Helsingborg, SWE",01/20/94,Roster,,https://www.espn.com/nhl/player/_/id/2968818,Defense
Boston Bruins,bos,Mason Lohrei,D,24,"6' 5""",220 lbs,L,"Madison, WI",01/17/01,Roster,,https://www.espn.com/nhl/player/_/id/4697461,Defense
Boston Bruins,bos,Charlie McAvoy,D,27,"6' 1""",213 lbs,R,"Long Beach, NY",12/21/97,Roster,,https://www.espn.com/nhl/player/_/id/3988803,Defense
Boston Bruins,bos,Andrew Peeke,D,27,"6' 3""",214 lbs,R,"Parkland, FL",03/17/98,Roster,,https://www.espn.com/nhl/player/_/id/4064936,Defense
Boston Bruins,bos,Victor Soderstrom,D,24,"6' 0""",183 lbs,R,"Gavle, SWE",02/26/01,Roster,,https://www.espn.com/nhl/player/_/id/4565232,Defense
Boston Bruins,bos,Parker Wotherspoon,D,27,"6' 1""",192 lbs,L,"Surrey, CAN",08/24/97,Roster,,https://www.espn.com/nhl/player/_/id/3942638,Defense
Boston Bruins,bos,Nikita Zadorov,D,30,"6' 6""",248 lbs,L,"Moscow, RUS",04/16/95,Roster,,https://www.espn.com/nhl/player/_/id/3042021,Defense
Boston Bruins,bos,Joonas Korpisalo,G,31,"6' 3""",199 lbs,L,"Pori, FIN",04/28/94,Roster,,https://www.espn.com/nhl/player/_/id/3069266,Goalies
Boston Bruins,bos,Jeremy Swayman,G,26,"6' 3""",195 lbs,L,"Anchorage, AK",11/24/98,Roster,,https://www.espn.com/nhl/player/_/id/4712036,Goalies
Buffalo Sabres,buf,Peyton Krebs,C,24,"6' 0""",187 lbs,L,"Calgary, CAN",01/26/01,Roster,,https://www.espn.com/nhl/player/_/id/4565238,Centers
Buffalo Sabres,buf,Sam Lafferty,C,30,"6' 2""",205 lbs,R,"Hollidaysburg, PA",03/06/95,Roster,,https://www.espn.com/nhl/player/_/id/3151322,Centers
Buffalo Sabres,buf,Ryan McLeod,C,25,"6' 3""",188 lbs,L,"Mississauga, CAN",09/21/99,Roster,,https://www.espn.com/nhl/player/_/id/4378669,Centers
Buffalo Sabres,buf,Josh Norris,C,26,"6' 2""",196 lbs,L,"Oxford, MI",05/05/99,Roster,,https://www.espn.com/nhl/player/_/id/4233627,Centers
Buffalo Sabres,buf,Tage Thompson,C,27,"6' 6""",220 lbs,R,"Phoenix, AZ",10/30/97,Roster,,https://www.espn.com/nhl/player/_/id/4024988,Centers
Buffalo Sabres,buf,Zach Benson,LW,20,"5' 10""",170 lbs,L,"Chilliwack, CAN",05/12/05,Roster,,https://www.espn.com/nhl/player/_/id/5149186,Left Wings
Buffalo Sabres,buf,Jordan Greenway,LW,28,"6' 6""",231 lbs,L,"Canton, NY",02/16/97,Roster,,https://www.espn.com/nhl/player/_/id/3900260,Left Wings
Buffalo Sabres,buf,Beck Malenstyn,LW,27,"6' 3""",200 lbs,L,"Delta, CAN",02/04/98,Roster,,https://www.espn.com/nhl/player/_/id/4063240,Left Wings
Buffalo Sabres,buf,Jason Zucker,LW,33,"5' 11""",192 lbs,L,"Newport Beach, CA",01/16/92,Roster,,https://www.espn.com/nhl/player/_/id/2593315,Left Wings
Buffalo Sabres,buf,JJ Peterka,RW,23,"6' 0""",189 lbs,L,"Munich, GER",01/14/02,Roster,,https://www.espn.com/nhl/player/_/id/4697438,Right Wings
Buffalo Sabres,buf,Jack Quinn,RW,23,"6' 1""",185 lbs,R,"Ottawa, CAN",09/19/01,Roster,,https://www.espn.com/nhl/player/_/id/4697389,Right Wings
Buffalo Sabres,buf,Alex Tuch,RW,29,"6' 4""",215 lbs,R,"Syracuse, NY",05/10/96,Roster,,https://www.espn.com/nhl/player/_/id/3114766,Right Wings
Buffalo Sabres,buf,Jacob Bernard-Docker,D,24,"6' 1""",198 lbs,R,"Canmore, CAN",06/30/00,Roster,,https://www.espn.com/nhl/player/_/id/4352798,Defense
Buffalo Sabres,buf,Jacob Bryson,D,27,"5' 9""",174 lbs,L,"London, CAN",11/18/97,Roster,,https://www.espn.com/nhl/player/_/id/4197014,Defense
Buffalo Sabres,buf,Bowen Byram,D,24,"6' 1""",190 lbs,L,"Cranbrook, CAN",06/13/01,Roster,,https://www.espn.com/nhl/player/_/id/4565225,Defense
Buffalo Sabres,buf,Connor Clifton,D,30,"5' 11""",192 lbs,R,"Matawan, NJ",04/28/95,Roster,,https://www.espn.com/nhl/player/_/id/3042191,Defense
Buffalo Sabres,buf,Rasmus Dahlin,D,25,"6' 3""",204 lbs,L,"Lidkoping, SWE",04/13/00,Roster,,https://www.espn.com/nhl/player/_/id/4294163,Defense
Buffalo Sabres,buf,Owen Power,D,22,"6' 6""",221 lbs,L,"Mississauga, CAN",11/22/02,Roster,,https://www.espn.com/nhl/player/_/id/4781556,Defense
Buffalo Sabres,buf,Mattias Samuelsson,D,25,"6' 4""",224 lbs,L,"Philadelphia, PA",03/14/00,Roster,,https://www.espn.com/nhl/player/_/id/4378656,Defense
Buffalo Sabres,buf,Ukko-Pekka Luukkonen,G,26,"6' 5""",217 lbs,L,"Espoo, FIN",03/09/99,Roster,,https://www.espn.com/nhl/player/_/id/4233889,Goalies
Buffalo Sabres,buf,James Reimer,G,37,"6' 2""",200 lbs,L,"Morweena, CAN",03/15/88,Roster,,https://www.espn.com/nhl/player/_/id/3870,Goalies
Calgary Flames,cgy,Mikael Backlund,C,36,"6' 0""",206 lbs,L,"Vasteras, SWE",03/17/89,Roster,,https://www.espn.com/nhl/player/_/id/3797,Centers
Calgary Flames,cgy,Morgan Frost,C,26,"6' 0""",193 lbs,L,"Aurora, CAN",05/14/99,Roster,,https://www.espn.com/nhl/player/_/id/4233685,Centers
Calgary Flames,cgy,Nazem Kadri,C,34,"6' 0""",185 lbs,L,"London, CAN",10/06/90,Roster,,https://www.espn.com/nhl/player/_/id/5349,Centers
Calgary Flames,cgy,Martin Pospisil,C,25,"6' 2""",173 lbs,L,"Zvolen, SVK",11/19/99,Roster,,https://www.espn.com/nhl/player/_/id/4392883,Centers
Calgary Flames,cgy,Kevin Rooney,C,32,"6' 2""",190 lbs,L,"Canton, MA",05/21/93,Roster,,https://www.espn.com/nhl/player/_/id/3096235,Centers
Calgary Flames,cgy,Yegor Sharangovich,C,27,"6' 2""",196 lbs,L,"Minsk, BLR",06/06/98,Roster,,https://www.espn.com/nhl/player/_/id/4587843,Centers
Calgary Flames,cgy,Connor Zary,C,23,"6' 0""",178 lbs,L,"Saskatoon, CAN",09/25/01,Roster,,https://www.espn.com/nhl/player/_/id/4697407,Centers
Calgary Flames,cgy,Blake Coleman,LW,33,"5' 11""",199 lbs,L,"Plano, TX",11/28/91,Roster,,https://www.espn.com/nhl/player/_/id/2563026,Left Wings
Calgary Flames,cgy,Joel Farabee,LW,25,"6' 0""",186 lbs,L,"Syracuse, NY",02/25/00,Roster,,https://www.espn.com/nhl/player/_/id/4352750,Left Wings
Calgary Flames,cgy,Jonathan Huberdeau,LW,32,"6' 1""",200 lbs,L,"Saint-Jerome, CAN",06/04/93,Roster,,https://www.espn.com/nhl/player/_/id/2562606,Left Wings
Calgary Flames,cgy,Ryan Lomberg,LW,30,"5' 9""",184 lbs,L,"Richmond Hill, CAN",12/09/94,Roster,,https://www.espn.com/nhl/player/_/id/3942548,Left Wings
Calgary Flames,cgy,Aydar Suniev,LW,20,"6' 2""",192 lbs,L,"Kazan, RUS",11/16/04,Roster,,https://www.espn.com/nhl/player/_/id/5188613,Left Wings
Calgary Flames,cgy,Matt Coronato,RW,22,"5' 10""",183 lbs,R,"New York, NY",11/14/02,Roster,,https://www.espn.com/nhl/player/_/id/4874730,Right Wings
Calgary Flames,cgy,Anthony Mantha,RW,30,"6' 5""",234 lbs,L,"Longueuil, CAN",09/16/94,Roster,,https://www.espn.com/nhl/player/_/id/3042037,Right Wings
Calgary Flames,cgy,Rasmus Andersson,D,28,"6' 1""",202 lbs,R,"Malmo, SWE",10/27/96,Roster,,https://www.espn.com/nhl/player/_/id/3904186,Defense
Calgary Flames,cgy,Kevin Bahl,D,24,"6' 6""",230 lbs,L,"New Westminster, CAN",06/27/00,Roster,,https://www.espn.com/nhl/player/_/id/4378686,Defense
Calgary Flames,cgy,Jake Bean,D,27,"6' 1""",191 lbs,L,"Calgary, CAN",06/09/98,Roster,,https://www.espn.com/nhl/player/_/id/4024916,Defense
Calgary Flames,cgy,Joel Hanley,D,34,"5' 11""",186 lbs,R,"Keswick, CAN",06/08/91,Roster,,https://www.espn.com/nhl/player/_/id/3149612,Defense
Calgary Flames,cgy,Daniil Miromanov,D,27,"6' 4""",207 lbs,R,"Moscow, RUS",07/11/97,Roster,,https://www.espn.com/nhl/player/_/id/4894820,Defense
Calgary Flames,cgy,Brayden Pachal,D,25,"6' 2""",202 lbs,R,"Estevan, CAN",08/23/99,Roster,,https://www.espn.com/nhl/player/_/id/4392769,Defense
Calgary Flames,cgy,Zayne Parekh,D,19,"6' 0""",178 lbs,R,"Nobleton, CAN",02/15/06,Roster,,https://www.espn.com/nhl/player/_/id/5216878,Defense
Calgary Flames,cgy,MacKenzie Weegar,D,31,"6' 0""",206 lbs,R,"Ottawa, CAN",01/07/94,Roster,,https://www.espn.com/nhl/player/_/id/3042269,Defense
Calgary Flames,cgy,Dan Vladar,G,27,"6' 5""",209 lbs,L,"Prague, CZE",08/20/97,Roster,,https://www.espn.com/nhl/player/_/id/3942459,Goalies
Calgary Flames,cgy,Dustin Wolf,G,24,"6' 0""",166 lbs,L,"Gilroy, CA",04/16/01,Roster,,https://www.espn.com/nhl/player/_/id/4587952,Goalies
Carolina Hurricanes,car,Sebastian Aho,C,27,"6' 0""",180 lbs,L,"Rauma, FIN",07/26/97,Roster,,https://www.espn.com/nhl/player/_/id/3904173,Centers
Carolina Hurricanes,car,Mark Jankowski,C,30,"6' 4""",212 lbs,L,"Hamilton, CAN",09/13/94,Roster,,https://www.espn.com/nhl/player/_/id/2976849,Centers
Carolina Hurricanes,car,Seth Jarvis,C,23,"5' 10""",184 lbs,R,"Winnipeg, CAN",02/01/02,Roster,,https://www.espn.com/nhl/player/_/id/4697396,Centers
Carolina Hurricanes,car,Tyson Jost,C,27,"5' 11""",187 lbs,L,"St. Albert, CAN",03/14/98,Roster,,https://www.espn.com/nhl/player/_/id/4024879,Centers
Carolina Hurricanes,car,Jesperi Kotkaniemi,C,24,"6' 3""",203 lbs,L,"Forssa, FIN",07/06/00,Roster,,https://www.espn.com/nhl/player/_/id/4352692,Centers
Carolina Hurricanes,car,Jack Roslovic,C,28,"6' 1""",198 lbs,R,"Columbus, OH",01/29/97,Roster,,https://www.espn.com/nhl/player/_/id/3904098,Centers
Carolina Hurricanes,car,Jordan Staal,C,36,"6' 4""",220 lbs,L,"Thunder Bay, CAN",09/10/88,Roster,,https://www.espn.com/nhl/player/_/id/3541,Centers
Carolina Hurricanes,car,Logan Stankoven,C,22,"5' 8""",165 lbs,R,"Kamloops, CAN",02/26/03,Roster,,https://www.espn.com/nhl/player/_/id/4874899,Centers
Carolina Hurricanes,car,William Carrier,LW,30,"6' 2""",220 lbs,L,"La Salle, CAN",12/20/94,Roster,,https://www.espn.com/nhl/player/_/id/3042054,Left Wings
Carolina Hurricanes,car,Taylor Hall,LW,33,"6' 1""",210 lbs,L,"Calgary, CAN",11/14/91,Roster,,https://www.espn.com/nhl/player/_/id/5428,Left Wings
Carolina Hurricanes,car,Juha Jaaska,LW,27,"6' 0""",196 lbs,L,"Helsinki, FIN",02/09/98,Roster,,https://www.espn.com/nhl/player/_/id/5209443,Left Wings
Carolina Hurricanes,car,Jordan Martinook,LW,32,"6' 1""",208 lbs,L,"Brandon, CAN",07/25/92,Roster,,https://www.espn.com/nhl/player/_/id/2989376,Left Wings
Carolina Hurricanes,car,Eric Robinson,LW,30,"6' 2""",211 lbs,L,"Bellmawr, NJ",06/14/95,Roster,,https://www.espn.com/nhl/player/_/id/4319879,Left Wings
Carolina Hurricanes,car,Jackson Blake,RW,21,"5' 11""",178 lbs,R,"Eden Prairie, MN",08/03/03,Roster,,https://www.espn.com/nhl/player/_/id/5103645,Right Wings
Carolina Hurricanes,car,Jesper Fast,RW,33,"6' 1""",191 lbs,R,"Nassjo, SWE",12/02/91,Roster,,https://www.espn.com/nhl/player/_/id/2590847,Right Wings
Carolina Hurricanes,car,Andrei Svechnikov,RW,25,"6' 3""",199 lbs,L,"Barnaul, RUS",03/26/00,Roster,,https://www.espn.com/nhl/player/_/id/4352683,Right Wings
Carolina Hurricanes,car,Brent Burns,D,40,"6' 5""",228 lbs,R,"Barrie, CAN",03/09/85,Roster,,https://www.espn.com/nhl/player/_/id/2300,Defense
Carolina Hurricanes,car,Jalen Chatfield,D,29,"6' 1""",199 lbs,R,"Ypsilanti, MI",05/15/96,Roster,,https://www.espn.com/nhl/player/_/id/4063449,Defense
Carolina Hurricanes,car,Shayne Gostisbehere,D,32,"5' 11""",183 lbs,L,"Pembroke Pines, FL",04/20/93,Roster,,https://www.espn.com/nhl/player/_/id/3025662,Defense
Carolina Hurricanes,car,Scott Morrow,D,22,"6' 2""",210 lbs,R,"Darien, CT",11/01/02,Roster,,https://www.espn.com/nhl/player/_/id/4874882,Defense
Carolina Hurricanes,car,Alexander Nikishin,D,23,"6' 4""",216 lbs,L,"Oryol, RUS",10/02/01,Roster,,https://www.espn.com/nhl/player/_/id/5188393,Defense
Carolina Hurricanes,car,Dmitry Orlov,D,33,"5' 11""",214 lbs,L,"Novokuznetsk, USSR",07/23/91,Roster,,https://www.espn.com/nhl/player/_/id/5646,Defense
Carolina Hurricanes,car,Jaccob Slavin,D,31,"6' 3""",207 lbs,L,"Denver, CO",05/01/94,Roster,,https://www.espn.com/nhl/player/_/id/3069836,Defense
Carolina Hurricanes,car,Ty Smith,D,25,"5' 11""",175 lbs,L,"Lloydminster, CAN",03/24/00,Roster,,https://www.espn.com/nhl/player/_/id/4352757,Defense
Carolina Hurricanes,car,Riley Stillman,D,27,"6' 1""",196 lbs,L,"Peterborough, CAN",03/09/98,Roster,,https://www.espn.com/nhl/player/_/id/4063378,Defense
Carolina Hurricanes,car,Sean Walker,D,30,"5' 11""",191 lbs,R,"Keswick, CAN",11/13/94,Roster,,https://www.espn.com/nhl/player/_/id/4272905,Defense
Carolina Hurricanes,car,Frederik Andersen,G,35,"6' 4""",229 lbs,L,"Herning, DEN",10/02/89,Roster,,https://www.espn.com/nhl/player/_/id/2517899,Goalies
Carolina Hurricanes,car,Pyotr Kochetkov,G,25,"6' 3""",193 lbs,L,"Penza, RUS",06/25/99,Roster,,https://www.espn.com/nhl/player/_/id/4565259,Goalies
Carolina Hurricanes,car,Spencer Martin,G,30,"6' 3""",191 lbs,L,"Oakville, CAN",06/08/95,Roster,,https://www.espn.com/nhl/player/_/id/3042069,Goalies
Carolina Hurricanes,car,Nikita Quapp,G,22,"6' 3""",187 lbs,L,--,01/25/03,Roster,,https://www.espn.com/nhl/player/_/id/4894470,Goalies
Chicago Blackhawks,chi,Connor Bedard,C,19,"5' 10""",185 lbs,R,"North Vancouver, CAN",07/17/05,Roster,,https://www.espn.com/nhl/player/_/id/5149125,Centers
Chicago Blackhawks,chi,Jason Dickinson,C,29,"6' 2""",200 lbs,L,"Georgetown, CAN",07/04/95,Roster,,https://www.espn.com/nhl/player/_/id/3042062,Centers
Chicago Blackhawks,chi,Ryan Donato,C,29,"6' 0""",190 lbs,L,"Boston, MA",04/09/96,Roster,,https://www.espn.com/nhl/player/_/id/3115033,Centers
Chicago Blackhawks,chi,Ryan Greene,C,21,"6' 1""",195 lbs,R,"Paradise Hill, CAN",10/21/03,Roster,,https://www.espn.com/nhl/player/_/id/5080227,Centers
Chicago Blackhawks,chi,Philipp Kurashev,C,25,"6' 0""",190 lbs,L,"Davos, SUI",10/12/99,Roster,,https://www.espn.com/nhl/player/_/id/4392541,Centers
Chicago Blackhawks,chi,Oliver Moore,C,20,"6' 0""",185 lbs,L,"Mounds View, MN",01/22/05,Roster,,https://www.espn.com/nhl/player/_/id/5149194,Centers
Chicago Blackhawks,chi,Frank Nazar,C,21,"5' 10""",190 lbs,R,"Mount Clemens, MI",01/14/04,Roster,,https://www.espn.com/nhl/player/_/id/5080157,Centers
Chicago Blackhawks,chi,Teuvo Teravainen,C,30,"5' 11""",191 lbs,L,"Helsinki, FIN",09/11/94,Roster,,https://www.espn.com/nhl/player/_/id/2592095,Centers
Chicago Blackhawks,chi,Joe Veleno,C,25,"6' 1""",201 lbs,L,"Montreal, CAN",01/13/00,Roster,,https://www.espn.com/nhl/player/_/id/4352804,Centers
Chicago Blackhawks,chi,Tyler Bertuzzi,LW,30,"6' 2""",200 lbs,L,"Sudbury, CAN",02/24/95,Roster,,https://www.espn.com/nhl/player/_/id/3042056,Left Wings
Chicago Blackhawks,chi,Nick Foligno,LW,37,"6' 0""",210 lbs,L,"Buffalo, NY",10/31/87,Roster,,https://www.espn.com/nhl/player/_/id/3535,Left Wings
Chicago Blackhawks,chi,Pat Maroon,LW,37,"6' 3""",234 lbs,L,"St. Louis, MO",04/23/88,Roster,,https://www.espn.com/nhl/player/_/id/3853,Left Wings
Chicago Blackhawks,chi,Lukas Reichel,LW,23,"6' 0""",170 lbs,L,"Nuremberg, GER",05/17/02,Roster,,https://www.espn.com/nhl/player/_/id/4697400,Left Wings
Chicago Blackhawks,chi,Landon Slaggert,LW,22,"6' 0""",180 lbs,L,"South Bend, IN",06/25/02,Roster,,https://www.espn.com/nhl/player/_/id/4697787,Left Wings
Chicago Blackhawks,chi,Ilya Mikheyev,RW,30,"6' 2""",192 lbs,L,"Omsk, RUS",10/10/94,Roster,,https://www.espn.com/nhl/player/_/id/4422415,Right Wings
Chicago Blackhawks,chi,TJ Brodie,D,35,"6' 2""",187 lbs,L,"Chatham, CAN",06/07/90,Roster,,https://www.espn.com/nhl/player/_/id/5162,Defense
Chicago Blackhawks,chi,Louis Crevier,D,24,"6' 8""",228 lbs,R,"Quebec City, CAN",05/04/01,Roster,,https://www.espn.com/nhl/player/_/id/4697681,Defense
Chicago Blackhawks,chi,Wyatt Kaiser,D,22,"6' 0""",173 lbs,L,"Andover, MN",07/31/02,Roster,,https://www.espn.com/nhl/player/_/id/4697717,Defense
Chicago Blackhawks,chi,Alec Martinez,D,37,"6' 1""",210 lbs,L,"Rochester Hills, MI",07/26/87,Roster,,https://www.espn.com/nhl/player/_/id/3927,Defense
Chicago Blackhawks,chi,Ryan Mast,D,22,"6' 5""",213 lbs,R,"Bloomfield Hills, MI",01/14/03,Roster,,https://www.espn.com/nhl/player/_/id/5103278,Defense
Chicago Blackhawks,chi,Connor Murphy,D,32,"6' 4""",212 lbs,R,"Dublin, OH",03/26/93,Roster,,https://www.espn.com/nhl/player/_/id/2562618,Defense
Chicago Blackhawks,chi,Sam Rinzel,D,20,"6' 5""",190 lbs,R,"Chanhassen, MN",06/25/04,Roster,,https://www.espn.com/nhl/player/_/id/5080173,Defense
Chicago Blackhawks,chi,Alex Vlasic,D,24,"6' 6""",217 lbs,L,"Wilmette, IL",06/05/01,Roster,,https://www.espn.com/nhl/player/_/id/4565266,Defense
Chicago Blackhawks,chi,Shea Weber,D,39,"6' 4""",229 lbs,R,"Sicamous, CAN",08/14/85,Roster,,https://www.espn.com/nhl/player/_/id/2278,Defense
Chicago Blackhawks,chi,Laurent Brossoit,G,32,"6' 3""",203 lbs,L,"Port Alberni, CAN",03/23/93,Roster,,https://www.espn.com/nhl/player/_/id/3026526,Goalies
Chicago Blackhawks,chi,Spencer Knight,G,24,"6' 3""",191 lbs,L,"Darien, CT",04/19/01,Roster,,https://www.espn.com/nhl/player/_/id/4565234,Goalies
Chicago Blackhawks,chi,Arvid Soderblom,G,25,"6' 3""",180 lbs,L,"Goteborg, SWE",08/19/99,Roster,,https://www.espn.com/nhl/player/_/id/4894729,Goalies
Colorado Avalanche,col,Ross Colton,C,28,"6' 0""",194 lbs,L,"Robbinsville, NJ",09/11/96,Roster,,https://www.espn.com/nhl/player/_/id/4392471,Centers
Colorado Avalanche,col,Charlie Coyle,C,33,"6' 3""",215 lbs,R,"Weymouth, MA",03/02/92,Roster,,https://www.espn.com/nhl/player/_/id/2555315,Centers
Colorado Avalanche,col,Jack Drury,C,25,"5' 11""",186 lbs,R,"New York, NY",02/03/00,Roster,,https://www.espn.com/nhl/player/_/id/4378671,Centers
Colorado Avalanche,col,Parker Kelly,C,26,"6' 1""",185 lbs,L,"Camrose, CAN",05/14/99,Roster,,https://www.espn.com/nhl/player/_/id/4392309,Centers
Colorado Avalanche,col,Nathan MacKinnon,C,29,"6' 0""",200 lbs,R,"Halifax, CAN",09/01/95,Roster,,https://www.espn.com/nhl/player/_/id/3041969,Centers
